Creative Type	Director	Distributor	IMDB Rating	IMDB Votes	MPAA Rating	Major Genre	Production Budget	Release Location	Release Date	Rotten Tomatoes Rating	Running Time (min)	Source	Title	US DVD Sales	US Gross	Worldwide Gross
Contemporary Fiction		Warner Bros.	5.1	15218	R	Action	60000000	United States	14-Jul-95	34	0	Original Screenplay	Under Siege 2: Dark Territory	0	50024083	104324083
Dramatization	Brian De Palma	Paramount Pictures	8	86097		Action	25000000	United States	3-Jun-87	81	0	Based on TV	The Untouchables	0	76270454	76270454
Historical Fiction		Warner Bros.	4.9	1263		Comedy	20000000	United States	31-Jul-81	0	0	Original Screenplay	Under the Rainbow	0	18826490	18826490
Contemporary Fiction		Yash Raj Films	7.3	4155	Not Rated	Drama	7000000	India	12-Nov-04	0	0	Original Screenplay	Veer-Zaara	0	2938532	7017859
Fantasy	David Cronenberg	Universal	7.3	20080		Horror	5952000	United States	4-Feb-83	0	0	Original Screenplay	Videodrome	0	2120439	2120439
Fantasy		Miramax	6.7	7393	R	Comedy	7000000		12-Jul-96	0	0	Original Screenplay	Les Visiteurs	0	659000	98754000
			0	0		Comedy	20000000		27-Mar-98	0	0	Original Screenplay	Couloirs du temps: Les visiteurs 2, Les	0	146072	26146072
			7.3	682			2160000		1945	0	0		The Valley of Decision	0	9132000	9132000
Fantasy	Wes Craven	Paramount Pictures	4.3	8200	R	Horror	14000000	Denmark	27-Oct-95	11	0	Original Screenplay	Vampire in Brooklyn	0	19637147	19637147
Contemporary Fiction	Sidney Lumet	20th Century Fox	7.7	10864		Drama	16000000	United States	8-Dec-82	96	0	Based on Book/Short Story	The Verdict	0	53977250	53977250
Science Fiction		Paramount Pictures	5.3	11079	R	Action	30000000	United States	4-Aug-95	34	0	Original Screenplay	Virtuosity	0	23998226	23998226
			6.7	418	R		500000		2-Nov-01	0	0		Everything Put Together	0	0	0
Contemporary Fiction	John Glen	MGM	6.1	23770		Action	30000000		24-May-85	39	0	Based on Book/Short Story	A View to a Kill	0	50327960	152627960
Historical Fiction		Vineyard Distribution	5.6	365	PG-13	Drama	6500000		21-Oct-05	0	100	Based on Book/Short Story	The Work and the Glory: American Zion	0	2025032	2025032
Historical Fiction	Tony Goldwyn	Miramax	6.4	4125	R	Drama	14000000	United States	26-Mar-99	74	0	Original Screenplay	A Walk on the Moon	0	4741987	4741987
Contemporary Fiction		Excel Entertainment	6	531	PG	Drama	7500000	United States	24-Nov-04	17	0	Based on Book/Short Story	The Work and the Glory	0	3347647	3347647
		Off-Hollywood Distribution	5.1	82	Not Rated	Comedy	103000	United States	3-Oct-03	0	0		The Work and the Story	0	16137	16137
Factual		Captured Light	0	0	Not Rated	Documentary	4000000		6-Feb-04	0	0	Based on Real Life Events	What the #$'! Do We Know	0	10941801	10941801
Contemporary Fiction	Christopher Guest	Sony Pictures Classics	7.4	14880	R	Comedy	4000000		31-Jan-97	0	0	Original Screenplay	Waiting for Guffman	0	2922988	2922988
Fantasy	Robert Zemeckis	Walt Disney Pictures	7.6	53541		Comedy	70000000		22-Jun-88	98	0	Based on Book/Short Story	Who Framed Roger Rabbit?	0	154112492	351500000
Historical Fiction	Randal Kleiser	Walt Disney Pictures	0	0		Adventure	14000000		18-Jan-91	67	0	Based on Book/Short Story	White Fang	0	34729091	34729091
Dramatization	Ridley Scott	Walt Disney Pictures	6.4	8385	PG-13	Adventure	38000000	United States	2-Feb-96	63	0	Based on Real Life Events	White Squall	0	10229300	10229300
	Lasse Hallstrom	Paramount Pictures	7.8	51219		Drama	11000000		25-Dec-93	88	0		What's Eating Gilbert Grape	0	9170214	9170214
Fantasy		Cinema Guild	5.2	1666		Horror	2000000	United States	31-Dec-86	0	0	Original Screenplay	Witchboard	0	7369373	7369373
	Sidney Lumet		4.5	4896		Musical	24000000		24-Oct-78	37	0		The Wiz	0	13000000	13000000
Contemporary Fiction		Miramax	6.5	1756	R	Romantic Comedy	1000000	United States	17-Jul-96	86	0	Original Screenplay	Walking and Talking	0	1287480	1615787
Historical Fiction	Sam Peckinpah	Warner Bros.	8.2	31196		Western	6000000	United States	18-Jun-69	97	0	Original Screenplay	The Wild Bunch	0	509424	509424
Contemporary Fiction	Oliver Stone	20th Century Fox	7.3	35454		Drama	15000000	United States	11-Dec-87	78	0	Original Screenplay	Wall Street	0	43848100	43848100
			0	0			25000000		1-Jan-70	0	0		Waterloo	0	0	0
	Alfred Hitchcock	Warner Bros.	7.5	7531			1200000	United States	23-Dec-56	89	0		The Wrong Man	0	2000000	2000000
			0	0	R		150000		23-Jun-00	0	0		Woman Chaser	0	110719	110719
			7.9	3035			2000000		12-Aug-27	96	0		Wings	0	0	0
Contemporary Fiction	Neil Jordan	Paramount Pictures	5.6	7839		Comedy	20000000		15-Dec-89	50	0	Based on Play	We're No Angels	0	10555348	10555348
Fantasy	Mike Nichols	Sony Pictures	6	20035	R	Thriller/Suspense	70000000	United States	17-Jun-94	60	0	Original Screenplay	Wolf	0	65011757	131011757
Contemporary Fiction	Ronny Yu	MGM	4	1202	PG	Action	35000000	United States	2-May-97	10	0	Original Screenplay	Warriors of Virtue	0	6448817	6448817
Science Fiction	John Badham	MGM	6.4	88		Thriller/Suspense	12000000		3-Jun-83	0	0	Original Screenplay	War Games	0	74433837	74433837
Science Fiction	Steve Miner	Trimark	5.9	4921		Horror	7000000		10-Jan-91	0	0	Original Screenplay	Warlock	0	8824553	8824553
	King Vidor		6.8	2923	PG		6000000		1956	50	0		War and Peace	0	12500000	12500000
Science Fiction		Trimark	4.9	1888		Horror	3000000	France	24-Sep-93	0	0	Original Screenplay	Warlock: The Armageddon	0	3902679	3902679
		Sony Pictures	6.5	11647	R		15300000		27-Sep-02	0	0		Wasabi	0	81525	7000000
	Robert Wise		7.7	29488			6000000	United States	18-Oct-61	92	0		West Side Story	0	43700000	43700000
Contemporary Fiction		Sony Pictures Classics	0	0	R	Comedy	300000		20-Sep-96	0	0	Original Screenplay	When The Cat's Away	0	1652472	2525984
Contemporary Fiction	Todd Solondz	Sony Pictures Classics	7.3	13469	R	Comedy	800000		10-May-96	0	0	Original Screenplay	Welcome to the Dollhouse	0	4198137	4726732
Contemporary Fiction	Peter Weir	Paramount Pictures	7.6	30460		Thriller/Suspense	12000000	United States	8-Feb-85	94	0	Original Screenplay	Witness	0	65532576	65532576
Science Fiction	Kevin Reynolds	Universal	5.7	54126	PG-13	Action	175000000		28-Jul-95	42	0	Original Screenplay	Waterworld	0	88246220	264246220
			7.8	46824			3000000		30-Jun-71	90	0		Willy Wonka & the Chocolate Factory	0	4000000	4000000
Contemporary Fiction	Penelope Spheeris	Paramount Pictures	6.9	42570	PG-13	Comedy	20000000		14-Feb-92	84	0	Based on TV	Wayne's World	0	121697323	183097323
Dramatization	Lawrence Kasdan	Warner Bros.	6.4	15614	PG-13	Western	63000000	United States	24-Jun-94	42	0	Based on Real Life Events	Wyatt Earp	0	25052000	25052000
Fantasy	King Vidor	Warner Bros.	8.3	102795	G	Musical	2777000	United States	25-Aug-39	0	103	Based on Book/Short Story	The Wizard of Oz	0	28202232	28202232
Contemporary Fiction		Warner Bros.	6.3	18569	R	Thriller/Suspense	55000000	United States	15-Mar-96	65	132	Original Screenplay	Executive Decision	0	56679192	122079192
			6.8	3546			4000000	United States	1-Jan-60	67	0		Exodus	0	21750000	21750000
Contemporary Fiction	William Friedkin	Warner Bros.	8.1	103131	R	Horror	12000000	United States	26-Dec-73	84	0	Based on Book/Short Story	The Exorcist	0	204632868	402500000
Contemporary Fiction	Michael Apted	Sony Pictures	5.9	8038	R	Drama	38000000	Canada	27-Sep-96	55	117	Based on Book/Short Story	Extreme Measures	0	17378193	17378193
	Frank Capra		8	8597			1644000		1938	96	0		You Can't Take It With You	0	4000000	4000000
Contemporary Fiction	John Schlesinger	Paramount Pictures	5.7	4837	R	Drama	20000000	United States	12-Jan-96	0	101	Based on Book/Short Story	Eye for an Eye	0	26792700	26792700
Historical Fiction		20th Century Fox	6.6	21404		Western	13000000	United States	12-Aug-88	40	0	Original Screenplay	Young Guns	0	44726644	44726644
	Mel Brooks	20th Century Fox	8	57106			2800000	United States	15-Dec-74	93	0		Young Frankenstein	15500333	86300000	86300000
	Barbra Streisand	MGM/UA Classics	6.2	4952		Musical	12000000	United States	18-Nov-83	71	0	Based on Book/Short Story	Yentl	0	39012241	39012241
		MGM	7	24701		Action	9500000	United Kingdom	13-Jun-67	70	0	Based on Book/Short Story	You Only Live Twice	0	43100000	111600000
Factual		Kino International	7.3	181	Not Rated	Documentary	300000		19-Jul-02	0	0		Ayurveda: Art of Being	0	16892	2066892
Historical Fiction	Barry Levinson	Paramount Pictures	6.5	7293		Adventure	18000000	United States	4-Dec-85	63	0	Based on Book/Short Story	Young Sherlock Holmes	0	19739000	19739000
Kids Fiction	Kevin Lima	Walt Disney Pictures	4.4	7147	G	Comedy	85000000	United States	22-Nov-00	30	100	Based on Book/Short Story	102 Dalmatians	0	66941559	66941559
Contemporary Fiction		Walt Disney Pictures	6.9	61910	PG-13	Romantic Comedy	13000000		31-Mar-99	0	97	Based on Play	Ten Things I Hate About You	0	38177966	38177966
Historical Fiction	Roland Emmerich	Warner Bros.	5.8	134	PG-13	Adventure	105000000	Japan	7-Mar-08	9	0	Original Screenplay	10,000 B.C.	27044045	94784201	269065678
Dramatization	Robert Moresco	ThinkFilm	6.3	3655	Not Rated	Drama	8000000		18-Aug-06	19	0	Based on Real Life Events	10th & Wolf	0	54702	54702
			7.3	18261	R		6000000		12-Aug-05	0	0		11:14	0	0	0
Science Fiction	Matt Reeves	Paramount Pictures	7.4	136068	PG-13	Action	25000000	United States	18-Jan-08	76	0	Original Screenplay	Cloverfield	29180398	80048433	170764033
Contemporary Fiction	Renny Harlin	20th Century Fox	5.4	8914	PG-13	Action	20000000	Australia	27-Mar-09	28	108	Original Screenplay	12 Rounds	8283859	12234694	18184083
Contemporary Fiction		Sony Pictures Classics	7.1	6188	R	Drama	3000000		24-May-02	0	0	Original Screenplay	Thirteen Conversations About One Thing	0	3287435	3705923
Contemporary Fiction	Gary Winick	Sony Pictures	6.1	32634	PG-13	Comedy	30000000		23-Apr-04	0	98	Original Screenplay	13 Going On 30	0	57139723	96439723
Fantasy		Warner Bros.	5.1	23243	R	Horror	19000000		26-Oct-01	0	91	Original Screenplay	Thirteen Ghosts	0	41867960	68467960
Contemporary Fiction		MGM	6.9	72913	PG-13	Horror	22500000	United States	22-Jun-07	78	102	Based on Book/Short Story	1408	49668544	71985628	128529299
Contemporary Fiction		New Line	6.1	25566	R	Thriller/Suspense	42000000	United States	9-Mar-01	32	120	Original Screenplay	15 Minutes	0	24375436	56331864
Contemporary Fiction		Waterdog Films	0	0		Romantic Comedy	1000000		3-Sep-10	0	0	Original Screenplay	16 to Life	0	10744	10744
Contemporary Fiction	Richard Donner	Warner Bros.	6.7	41207	PG-13	Action	45000000	Philippines	3-Mar-06	55	0	Original Screenplay	16 Blocks	17523555	36895141	65595141
		MGM	5.7	627			18000000		24-Sep-99	0	0		One Man's Hero	0	229311	229311
Contemporary Fiction	Forest Whitaker	20th Century Fox	4.7	6839	PG	Romantic Comedy	30000000	United States	24-Sep-04	8	0	Original Screenplay	First Daughter	0	9055010	10419084
Science Fiction	Roland Emmerich	Sony Pictures	6.2	396	PG-13	Action	200000000		13-Nov-09	39	158	Original Screenplay	2012	50736023	166112167	766812167
Science Fiction	Wong Kar-wai	Sony Pictures Classics	7.5	19431	R	Drama	12000000		5-Aug-05	0	0	Original Screenplay	2046	0	1442338	19202856
		Fox Searchlight	4.9	1423	R	Comedy	66000		26-Feb-99	0	0	Original Screenplay	20 Dates	0	541636	541636
Contemporary Fiction	Robert Luketic	Sony Pictures	6.7	60918	PG-13	Thriller/Suspense	35000000	United States	21-Mar-08	35	0	Based on Book/Short Story	21	25789928	81159365	157852532
Contemporary Fiction	Alejandro Gonzalez Inarritu	Focus Features	7.9	77910	R	Drama	20000000	Italy	21-Nov-03	81	0	Original Screenplay	21 Grams	0	16248701	60448701
Contemporary Fiction	Spike Lee	Walt Disney Pictures	7.9	58781	R	Drama	4500000	United States	19-Dec-02	78	0	Based on Book/Short Story	25th Hour	0	13084595	23928503
Contemporary Fiction	Betty Thomas	Sony Pictures	5.8	17937	PG-13	Comedy	43000000	Japan	14-Apr-00	30	103	Original Screenplay	28 Days	0	37035515	62063972
Science Fiction	Danny Boyle	Fox Searchlight	7.6	103525	R	Horror	15000000		27-Jun-03	89	113	Original Screenplay	28 Days Later...	0	45064915	82719885
Science Fiction		20th Century Fox	7.1	69558	R	Horror	15000000	United Kingdom	11-May-07	0	91	Original Screenplay	28 Weeks Later	24422887	28638916	64238440
Kids Fiction	Jean-Jacques Annaud	Universal	6	127	PG	Drama	72000000		25-Jun-04	77	0	Original Screenplay	Two Brothers	0	18947630	39925603
Contemporary Fiction	Kevin Smith	Warner Bros.	5.7	16520	R	Comedy	37000000	Greece	26-Feb-10	19	0	Original Screenplay	Cop Out	11433110	44875481	44875481
Contemporary Fiction	James Gray	Magnolia Pictures	7.3	10325	R	Drama	12000000		13-Feb-09	0	0	Original Screenplay	Two Lovers	0	3149034	11549034
Contemporary Fiction	D.J. Caruso	Universal	0	0	R	Drama	20000000		7-Oct-05	0	123	Original Screenplay	2 For the Money	0	22991379	27848418
Historical Fiction		New Line	7.5	19040	PG	Drama	30000000	United States	19-Sep-03	60	111	Original Screenplay	Secondhand Lions	0	42023715	47855342
Contemporary Fiction		Sony Pictures	5.6	2370	R	Romantic Comedy	13000000	United States	7-Sep-01	43	91	Original Screenplay	Two Can Play That Game	0	22235901	22391450
Contemporary Fiction		Warner Bros.	5.8	35515	PG-13	Romantic Comedy	60000000	United States	20-Dec-02	42	110	Original Screenplay	Two Weeks Notice	0	93354918	199043309
Historical Fiction	Zack Snyder	Warner Bros.	7.8	235508	R	Action	60000000		9-Mar-07	60	117	Based on Comic/Graphic Novel	300	261252400	210614939	456068181
Fantasy		Sony Pictures	6.6	52518	R	Horror	30000000	United States	19-Oct-07	49	0	Based on Comic/Graphic Novel	30 Days of Night	26908243	39568996	75066323
Historical Fiction	David O. Russell	Warner Bros.	7.3	68726	R	Action	48000000	United States	1-Oct-99	94	115	Original Screenplay	Three Kings	0	60652036	107752036
Contemporary Fiction		Warner Bros.	5.6	20094	R	Drama	62000000	United States	23-Feb-01	14	0	Original Screenplay	3000 Miles to Graceland	0	15738632	18708848
Contemporary Fiction		MGM	2.9	905	R	Comedy	4000000	United States	1-Mar-00	0	0	Original Screenplay	3 Strikes	0	9821335	9821335
Historical Fiction	James Mangold	Lionsgate	7.9	98355	R	Western	48000000	United States	2-Sep-07	89	117	Remake	3:10 to Yuma	51359371	53606916	69791889
Contemporary Fiction	Michael Lehmann	Miramax	5.4	27912	R	Romantic Comedy	17000000	Canada	1-Mar-02	38	96	Original Screenplay	40 Days and 40 Nights	0	37939782	95092667
Contemporary Fiction	Judd Apatow	Universal	7.5	94557	R	Comedy	26000000		19-Aug-05	0	111	Original Screenplay	The 40 Year-old Virgin	0	109449237	177339049
Contemporary Fiction	John Singleton	Paramount Pictures	6.8	38311	R	Drama	30000000	United States	12-Aug-05	52	109	Original Screenplay	Four Brothers	0	74494381	92494381
Contemporary Fiction	Seth Gordon	Warner Bros.	5.7	14690	PG-13	Comedy	80000000	Canada	26-Nov-08	25	0	Original Screenplay	Four Christmases	26029004	120146040	163546040
Historical Fiction	Shekhar Kapur	Paramount Pictures	6.3	13204	PG-13	Drama	35000000	Canada	20-Sep-02	41	0	Based on Book/Short Story	The Four Feathers	0	18306166	29882645
Historical Fiction		Universal	6	16107	PG-13	Thriller/Suspense	10000000	United States	6-Nov-09	17	0	Original Screenplay	The Fourth Kind	6244985	26218170	41826604
Historical Fiction		IFC Films	0	0	Not Rated	Drama	900000		25-Jan-08	0	0	Original Screenplay	4 luni, 3 saptamani si 2 zile	0	1196321	4723542
Contemporary Fiction	Peter Segal	Sony Pictures	6.8	64701	PG-13	Romantic Comedy	75000000	Canada	13-Feb-04	44	99	Original Screenplay	50 First Dates	0	120776832	196376832
		Palm Pictures	6.4	3462	PG-13		2000000	Canada	18-Sep-98	60	0		Six-String Samurai	0	134624	134624
Science Fiction	Roger Spottiswoode	Sony Pictures	5.8	32606	PG-13	Action	82000000	Japan	17-Nov-00	40	123	Original Screenplay	The 6th Day	0	34543701	96024898
Contemporary Fiction	Gabriele Muccino	Sony Pictures	7.6	62718	PG-13	Drama	54000000	Canada	19-Dec-08	27	0	Original Screenplay	Seven Pounds	27601737	69951824	166617328
Contemporary Fiction	Jon Avnet	Sony Pictures	5.9	31205	R	Thriller/Suspense	30000000		18-Apr-08	5	106	Original Screenplay	88 Minutes	11385055	16930884	32955399
Contemporary Fiction	Frank Marshall	Walt Disney Pictures	7.3	17717	PG	Adventure	40000000	Canada	17-Feb-06	71	0	Remake	Eight Below	104578578	81612565	120612565
Contemporary Fiction		Warner Bros.	5.4	18173	PG-13	Comedy	30000000	Switzerland	17-Jul-02	47	0	Original Screenplay	Eight Legged Freaks	0	17266505	17266505
Contemporary Fiction	Curtis Hanson	Universal	6.7	55877	R	Drama	41000000	Canada	8-Nov-02	74	110	Original Screenplay	8 Mile	0	116724075	242924075
Contemporary Fiction		Focus Features	7	13631	R	Musical	8000000	France	20-Sep-02	0	0	Based on Play	8 femmes	0	3076425	42376425
Fantasy	Shane Acker	Focus Features	7.8	1488	PG-13	Adventure	30000000		9-Sep-09	0	0	Original Screenplay	9	8655698	31749894	46603791
Contemporary Fiction		Sony Pictures Classics	0	0	R	Drama	1500000		19-Apr-02	0	0	Original Screenplay	Nine Queens	0	1222889	12412889
Contemporary Fiction	Howard Deutch	Warner Bros.	5.1	20807	PG-13	Comedy	30000000	Iceland	9-Apr-04	4	0	Original Screenplay	The Whole Ten Yards	0	16323969	26323969
Contemporary Fiction		Warner Bros.	6.6	42928	R	Comedy	24000000	United States	18-Feb-00	45	99	Original Screenplay	The Whole Nine Yards	0	57262492	85262492
Contemporary Fiction	Paul Weitz	Universal	7.4	48875	PG-13	Romantic Comedy	27000000	United Kingdom	17-May-02	93	101	Based on Book/Short Story	About a Boy	0	40803000	129949664
Fantasy	John Lasseter	Walt Disney Pictures	7.3	56866	G	Adventure	45000000		20-Nov-98	91	96	Original Screenplay	A Bug's Life	0	162798565	363109485
Contemporary Fiction		Paramount Pictures	4.8	5361	PG-13	Thriller/Suspense	25000000	Australia	18-Oct-02	17	0	Original Screenplay	Abandon	0	10719367	12219367
Contemporary Fiction	Clint Eastwood	Sony Pictures	6.5	20154	R	Thriller/Suspense	50000000	United States	14-Feb-97	46	120	Based on Book/Short Story	Absolute Power	0	50068310	50068310
Contemporary Fiction	Michael Winterbottom	Picturehouse	0	0	R	Comedy	4750000		27-Jan-06	0	0	Based on Book/Short Story	Tristram Shandy: A Cock and Bull Story	0	1253413	3061763
	Atom Egoyan	Sony Pictures Classics	6.3	1437			4000000		8-May-09	0	0		Adoration	0	294244	294244
Contemporary Fiction	Spike Jonze	Sony Pictures	7.9	67135	R	Comedy	18500000		6-Dec-02	91	0	Based on Book/Short Story	Adaptation	0	22498520	22498520
Contemporary Fiction	Woody Allen	Dreamworks SKG	6.4	13010	R	Romantic Comedy	18000000	Italy	19-Sep-03	40	0	Original Screenplay	Anything Else	0	3203044	13203044
Dramatization	Denzel Washington	Fox Searchlight	7.3	13258	PG-13	Drama	12500000	Canada	19-Dec-02	79	0	Based on Real Life Events	Antwone Fisher	0	21078145	23367586
Science Fiction		Paramount Pictures	8.1	1193	PG-13	Action	55000000		2-Dec-05	10	88	Based on TV	Aeon Flux	21927972	25857987	47953341
Contemporary Fiction	Brett Ratner	New Line	6.2	19793	PG-13	Action	57000000	Bahrain	12-Nov-04	18	97	Original Screenplay	After the Sunset	0	28328132	38329114
Contemporary Fiction	Ridley Scott	20th Century Fox	6.8	23149	PG-13	Drama	35000000	Canada	10-Nov-06	24	118	Based on Book/Short Story	A Good Year	7342760	7459300	42064105
Historical Fiction		Newmarket Films	7.3	10054	R	Drama	70000000		28-May-10	0	141	Original Screenplay	Agora	0	599903	32912303
Kids Fiction	Charles Martin Smith	Walt Disney Pictures	4.6	4698	PG	Comedy	3000000	Canada	1-Aug-97	45	97	Original Screenplay	Air Bud	0	24646936	27555061
Contemporary Fiction	Wolfgang Petersen	Sony Pictures	6.3	61394	R	Action	85000000	United States	25-Jul-97	78	124	Original Screenplay	Air Force One	0	172956409	315268353
Contemporary Fiction		Lionsgate	7.6	8245	PG	Drama	8000000	Germany	28-Apr-06	83	0	Original Screenplay	Akeelah and the Bee	25684049	18848430	18948425
Historical Fiction	Steven Zaillian	Sony Pictures	6	11994	PG-13	Drama	55000000		22-Sep-06	11	128	Based on Book/Short Story	All the King's Men	0	7221458	9521458
Dramatization		Walt Disney Pictures	5.9	10063	PG-13	Western	92000000	United States	9-Apr-04	30	137	Based on Real Life Events	The Alamo	0	22406362	23911362
Contemporary Fiction	Kevin Bray	New Line	5.3	4366	R	Comedy	14000000	United States	8-Mar-02	29	95	Original Screenplay	All About the Benjamins	0	25482931	25873145
	Kevin Spacey	Miramax	5.9	4377	R	Drama	5000000		17-Jan-97	0	0	Original Screenplay	Albino Alligator	0	353480	353480
Contemporary Fiction	Andy Tennant	Walt Disney Pictures	5.8	29891	PG-13	Comedy	38000000	United States	27-Sep-02	37	109	Original Screenplay	Sweet Home Alabama	0	127214072	163379330
Contemporary Fiction	Joel Zwick	20th Century Fox	4	4801	PG	Comedy	45000000	United States	25-Dec-04	21	93	Based on TV	Fat Albert	0	48114556	48563556
Fantasy	Tim Burton	Walt Disney Pictures	6.7	63458	PG	Adventure	200000000		5-Mar-10	51	0	Based on Book/Short Story	Alice in Wonderland	70909558	334191110	1023291110
Contemporary Fiction	Charles Shyer	Paramount Pictures	6.1	20769	R	Comedy	40000000	Ireland	5-Nov-04	49	0	Remake	Alfie	0	13395939	35195939
Dramatization		Matson	7.3	7631	R	Drama	2000000		15-Apr-05	0	0	Based on Real Life Events	It's All Gone Pete Tong	0	120620	1470620
Dramatization	Michael Mann	Sony Pictures	6.6	31785	R	Drama	109000000	United Kingdom	25-Dec-01	67	159	Based on Real Life Events	Ali	0	58183966	84383966
Science Fiction	Jean-Pierre Jeunet	20th Century Fox	6.2	66141	R	Action	60000000	France	26-Nov-97	0	108	Original Screenplay	Alien: Resurrection	0	47795018	160700000
Science Fiction	Ridley Scott	20th Century Fox	8.5	180387	R	Horror	9000000	United States	25-May-79	97	0	Original Screenplay	Alien	0	80930630	203630630
Contemporary Fiction		Walt Disney Pictures	6.4	17929	PG-13	Comedy	25000000	Israel	22-Apr-05	41	0	Original Screenplay	A Lot Like Love	0	21835784	47835784
Historical Fiction	Billy Bob Thornton	Miramax	5.7	6511	PG-13	Western	45000000	Sweden	25-Dec-00	32	0	Based on Book/Short Story	All the Pretty Horses	0	15527125	18120267
Dramatization	Cameron Crowe	Dreamworks SKG	8	94424	R	Comedy	60000000	Canada	15-Sep-00	88	123	Original Screenplay	Almost Famous	0	32522352	47371191
Fantasy	Tom Shadyac	Universal	5.5	43164	PG	Comedy	175000000	Kazakhstan	22-Jun-07	23	78	Original Screenplay	Evan Almighty	38038256	100289690	173219280
Fantasy	Tom Shadyac	Universal	6.6	92494	PG-13	Comedy	81000000	Canada	23-May-03	48	101	Original Screenplay	Bruce Almighty	0	242704995	485004995
	Mike Leigh	MGM	0	0	R	Drama	9000000		25-Oct-02	0	0	Original Screenplay	All or Nothing	0	184255	184255
Fantasy	Uwe Boll	Lionsgate	2.3	26028	R	Horror	20000000	United States	28-Jan-05	1	96	Based on Game	Alone in the Dark	0	5178569	8178569
Kids Fiction		Lionsgate	6.2	83	PG	Adventure	20000000		17-Sep-10	0	0	Original Screenplay	Alpha and Omega 3D	0	10115431	10115431
Contemporary Fiction	Lee Tamahori	Paramount Pictures	6.1	22994	R	Thriller/Suspense	28000000	United States	6-Apr-01	32	103	Based on Book/Short Story	Along Came a Spider	0	74058698	105159085
Contemporary Fiction		ThinkFilm	6.9	7943	R	Drama	12000000	United States	14-Jun-02	77	0	Based on Book/Short Story	The Dangerous Lives of Altar Boys	0	1779284	1779284
Historical Fiction			5.9	4944		Adventure	28000000		31-Dec-07	0	135	Based on Book/Short Story	Alatriste	0	0	22860477
Kids Fiction	Tim Hill	20th Century Fox	5.5	19200	PG	Comedy	55000000		14-Dec-07	27	92	Based on TV	Alvin and the Chipmunks	137516182	217326974	360578644
Contemporary Fiction	Rob Reiner	Warner Bros.	5.4	6539	PG-13	Drama	30000000		20-Jun-03	11	0	Original Screenplay	Alex & Emma	0	14208384	15358583
Dramatization	Oliver Stone	Warner Bros.	5.4	59498	R	Adventure	155000000	United States	24-Nov-04	16	175	Based on Real Life Events	Alexander	0	34297191	167297191
Historical Fiction		Goldwyn Entertainment	0	0	R	Drama	1800000		15-Nov-02	0	0	Based on Book/Short Story	El Crimen de Padre	0	5719000	5719000
Contemporary Fiction	Sam Mendes	Dreamworks SKG	8.6	292562	R	Drama	15000000	United States	15-Sep-99	89	118	Original Screenplay	American Beauty	0	130058047	356258047
Fantasy	David Zucker	Vivendi Entertainment	4.5	6000	PG-13	Comedy	20000000	United States	3-Oct-08	12	84	Original Screenplay	An American Carol	0	7013191	7013191
Contemporary Fiction	Paul Weitz	Universal	5.7	15097	PG-13	Black Comedy	17000000	United States	21-Apr-06	40	0	Original Screenplay	American Dreamz	0	7314027	16510971
Dramatization	Mira Nair	Fox Searchlight	5.7	3238	PG	Drama	40000000	Canada	23-Oct-09	21	0	Based on Book/Short Story	Amelia	5763807	14246488	19722782
Contemporary Fiction	Jean-Pierre Jeunet	Miramax	8.5	181085	R	Comedy	10350000		2-Nov-01	0	122	Original Screenplay	Le Fabuleux destin d'Amlie Poulain	0	33201661	174201661
Contemporary Fiction		New Line	8.6	224857	R	Drama	10000000	United States	30-Oct-98	83	0	Original Screenplay	American History X	0	6719864	6719864
Dramatization	Ridley Scott	Universal	7.9	114060	R	Drama	100000000	United States	2-Nov-07	79	157	Based on Real Life Events	American Gangster	72653959	130164645	265697825
Historical Fiction		Freestyle Releasing	4.9	13510	PG-13	Horror	14000000		5-May-06	12	0	Based on Book/Short Story	An American Haunting	9905802	16298046	27844063
Dramatization	Steven Spielberg	Dreamworks SKG	7.1	28477	R	Drama	40000000	United States	12-Dec-97	77	152	Based on Real Life Events	Amistad	0	44212592	44212592
Dramatization		Zeitgeist	7.2	2974	Not Rated	Drama	6800000		11-Aug-00	0	0	Based on Book/Short Story	Aime & Jaguar	0	927107	927107
Contemporary Fiction	Alejandro Gonzalez Inarritu	Lionsgate	8.1	61083	R	Drama	2000000		30-Mar-01	0	0	Original Screenplay	Amores Perros	0	5383834	20883834
Contemporary Fiction		Universal	6.2	66751	R	Comedy	30000000	United States	10-Aug-01	52	105	Original Screenplay	American Pie 2	0	145096820	286500000
Contemporary Fiction		Universal	6.1	52210	R	Comedy	55000000	United States	1-Aug-03	56	96	Original Screenplay	American Wedding	0	104354205	126425115
Contemporary Fiction	Paul Weitz	Universal	6.9	106624	R	Comedy	12000000	United States	9-Jul-99	59	95	Original Screenplay	American Pie	0	101800948	234800000
Historical Fiction	Mary Harron	Lionsgate	7.4	99424	R	Black Comedy	8000000	United States	14-Apr-00	66	0	Based on Book/Short Story	American Psycho	0	15070285	28674417
Contemporary Fiction		Fine Line	7.6	23686	R	Drama	2000000	United States	15-Aug-03	94	0	Based on Comic/Graphic Novel	American Splendor	0	6003587	7978681
Contemporary Fiction		Sony Pictures	5.7	26899	PG-13	Romantic Comedy	46000000		20-Jul-01	32	103	Original Screenplay	America's Sweethearts	0	93607673	157627733
Historical Fiction		MGM	5.8	26303	R	Horror	18500000	United States	15-Apr-05	24	89	Remake	The Amityville Horror	0	65233369	108047131
