Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Number_of_Strikes,Speed_IAS_in_knots
SEATTLE-TACOMA INTL,B-767-200,None,5/26/94 0:00,TRANS WORLD AIRLINES,Washington,Approach,Small,Unknown bird - small,Night,0,0,0,1,131
WASHINGTON DULLES INTL ARPT,B-737,None,5/27/94 0:00,UNITED AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,160
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-10,None,5/28/94 0:00,TRANS WORLD AIRLINES,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,145
CHICAGO O'HARE INTL ARPT,B-727-200,None,5/28/94 0:00,AMERICAN AIRLINES,Illinois,Take-off run,Medium,Mallard,Day,0,0,0,1,135
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/28/94 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
MINETA SAN JOSE INTL,MD-80,None,5/28/94 0:00,AMERICAN AIRLINES,California,Climb,Small,Unknown bird - small,Day,0,0,0,1,165
METRO OAKLAND INTL,B-737-300,None,5/30/94 0:00,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
PHOENIX SKY HARBOR,B-737-300,None,5/31/94 0:00,SOUTHWEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
GEORGE BUSH INTERCONTINENTAL,B-737,None,6/1/94 0:00,CONTINENTAL AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,6/1/94 0:00,ATLANTIC COAST AIRLINES,DC,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,160
LOS ANGELES INTL,B-737,None,6/4/94 0:00,BUSINESS,California,Approach,Small,American robin,Day,0,0,0,1,135
DALLAS/FORT WORTH INTL ARPT,MD-80,None,6/4/94 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Rock pigeon,Day,0,0,0,1,135
NASHVILLE INTL,B-737-500,None,6/5/94 0:00,SOUTHWEST AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
SALT LAKE CITY INTL,EMB-120,None,6/5/94 0:00,SKYWEST AIRLINES,Utah,Landing Roll,Small,Barn owl,Night,0,0,0,1,
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,Substantial,6/7/94 0:00,US AIRWAYS*,North Carolina,Climb,Large,Unknown bird - large,Night,0,0,0,1,160
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,6/7/94 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,1,
SAN ANTONIO INTL,MD-88,None,6/8/94 0:00,DELTA AIR LINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,1,125
GEORGE BUSH INTERCONTINENTAL,MD-80,None,6/9/94 0:00,CONTINENTAL AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
SALT LAKE CITY INTL,B-727,None,6/10/94 0:00,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
NEW ORLEANS INTL,B-737,None,6/11/94 0:00,CONTINENTAL AIRLINES,Louisiana,Take-off run,Small,European starling,Dusk,0,0,0,1,
LIHUE ARPT,KC-135E,None,6/12/94 0:00,MILITARY,Hawaii,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,140
ATLANTA INTL,MD-80,None,6/12/94 0:00,AMERICAN AIRLINES,Georgia,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,180
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/13/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,140
PHILADELPHIA INTL,MD-80,None,6/14/94 0:00,AMERICAN AIRLINES,Pennsylvania,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,160
HOUSTON-HOBBY,B-737-200,None,6/14/94 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,220
PHILADELPHIA INTL,MD-80,None,6/15/94 0:00,AMERICAN AIRLINES,Pennsylvania,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
LOUISVILLE INTL ARPT,B-737-400,None,6/15/94 0:00,US AIRWAYS*,Kentucky,Climb,Small,European starling,Dawn,0,0,0,1,135
NEW ORLEANS INTL,B-737-200,None,6/16/94 0:00,AMERICAN AIRLINES,Louisiana,Climb,Small,Unknown bird - small,Day,0,0,0,1,155
HOUSTON-HOBBY,B-737-500,None,6/16/94 0:00,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,130
CHARLOTTE/DOUGLAS INTL ARPT,DC-9,None,6/17/94 0:00,US AIRWAYS*,North Carolina,Approach,Small,Rock pigeon,Day,0,0,0,1,129
NEW ORLEANS INTL,B-737-200,None,6/18/94 0:00,US AIRWAYS*,Louisiana,Approach,Small,Rock pigeon,Day,0,0,0,1,130
NASHVILLE INTL,MD-80,None,6/19/94 0:00,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,1,140
CHARLESTON AFB/INTL ARPT,B-737-300,None,6/19/94 0:00,US AIRWAYS*,South Carolina,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,100
DALLAS/FORT WORTH INTL ARPT,B-727,None,6/19/94 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Mourning dove,Day,0,0,0,1,100
PHILADELPHIA INTL,SHORTS 360,None,6/20/94 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Rock pigeon,Day,0,0,0,1,100
NASHVILLE INTL,B-727,None,6/21/94 0:00,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,145
HOUSTON-HOBBY,B-737-200,None,6/21/94 0:00,SOUTHWEST AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,1,145
CHARLOTTE/DOUGLAS INTL ARPT,B-737,None,6/25/94 0:00,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,130
LOUISVILLE INTL ARPT,B-727,None,6/25/94 0:00,UPS AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Dawn,0,0,0,1,145
PHILADELPHIA INTL,B-737,None,6/26/94 0:00,UNITED AIRLINES,Pennsylvania,Approach,Large,Canada goose,Night,0,0,0,1,140
SALT LAKE CITY INTL,B-737,None,6/26/94 0:00,UNITED AIRLINES,Utah,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,1,
HOUSTON-HOBBY,B-737-200,None,6/27/94 0:00,SOUTHWEST AIRLINES,Texas,Take-off run,Small,Eastern meadowlark,Day,0,0,0,1,110
LOUISVILLE INTL ARPT,B-737,None,6/28/94 0:00,UNITED AIRLINES,Kentucky,Climb,Small,European starling,Day,0,0,0,1,160
CLEVELAND-HOPKINS INTL ARPT,B-737,None,6/28/94 0:00,US AIRWAYS*,Ohio,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
LOUISVILLE INTL ARPT,MD-88,None,6/30/94 0:00,DELTA AIR LINES,Kentucky,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
NEW ORLEANS INTL,MD-80,None,6/30/94 0:00,AMERICAN AIRLINES,Louisiana,Approach,Small,European starling,Day,0,0,0,1,130
WASHINGTON DULLES INTL ARPT,LEARJET-55,None,6/30/94 0:00,BUSINESS,DC,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,320
DALLAS/FORT WORTH INTL ARPT,B-727,None,7/1/94 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,250
CHICAGO O'HARE INTL ARPT,B-757-200,None,7/1/94 0:00,UNITED AIRLINES,Illinois,Climb,Small,Mourning dove,Day,0,0,0,1,150
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,FOKKER F100,None,7/1/94 0:00,AMERICAN AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Day,0,0,0,1,
NEWARK LIBERTY INTL ARPT,B-727,None,7/3/94 0:00,CONTINENTAL AIRLINES,New Jersey,Approach,Small,Rock pigeon,Day,0,0,0,1,150
CHICAGO O'HARE INTL ARPT,B-767,None,7/3/94 0:00,UNITED AIRLINES,Illinois,Take-off run,Small,European starling,Day,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/4/94 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
CLEVELAND-HOPKINS INTL ARPT,MD-80,None,7/4/94 0:00,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,1,150
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,7/4/94 0:00,AMERICAN AIRLINES,Illinois,Take-off run,Small,Horned lark,Day,0,0,0,1,
LOUISVILLE INTL ARPT,DC-9,None,7/5/94 0:00,US AIRWAYS*,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
TETERBORO AIRPORT,SA226 TC,None,7/5/94 0:00,BUSINESS,New Jersey,Take-off run,Small,Cliff swallow,Day,0,0,0,1,
LOUISVILLE INTL ARPT,DC-8-70,None,7/6/94 0:00,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,None,7/6/94 0:00,DELTA AIR LINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
AUSTIN-BERGSTROM INTL,B-737-200,None,7/7/94 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,1,300
MINETA SAN JOSE INTL,MD-80,None,7/8/94 0:00,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,110
CHARLOTTE/DOUGLAS INTL ARPT,B-737-200,None,7/9/94 0:00,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,175
NEW ORLEANS INTL,B-727-200,Medium,7/12/94 0:00,CONTINENTAL AIRLINES,Louisiana,Climb,Small,Laughing gull,Day,0,0,0,1,
CHICAGO O'HARE INTL ARPT,B-727,None,7/14/94 0:00,UNITED AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,100
CLEVELAND-HOPKINS INTL ARPT,MD-80,None,7/14/94 0:00,AMERICAN AIRLINES,Ohio,Approach,Small,Unknown bird - small,Day,0,0,0,1,
CHICAGO O'HARE INTL ARPT,B-727,None,7/15/94 0:00,UNITED AIRLINES,Illinois,Approach,Large,Canada goose,Day,0,0,0,1,150
MINETA SAN JOSE INTL,C-310,None,7/15/94 0:00,BUSINESS,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
WASHINGTON DULLES INTL ARPT,B-757-200,None,7/15/94 0:00,UNITED AIRLINES,DC,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
CHARLOTTE/DOUGLAS INTL ARPT,DC-9-30,None,7/15/94 0:00,US AIRWAYS*,North Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
CHARLOTTE/DOUGLAS INTL ARPT,DC-9,None,7/15/94 0:00,US AIRWAYS*,North Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,140
CHARLESTON AFB/INTL ARPT,C-17A,None,7/15/94 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,
EPPLEY AIRFIELD,B-737,None,7/15/94 0:00,AMERICA WEST AIRLINES,Nebraska,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,200
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,7/15/94 0:00,US AIRWAYS*,North Carolina,Climb,Small,Unknown bird - small,Day,0,0,0,1,150
LOUISVILLE INTL ARPT,DC-9-30,None,7/16/94 0:00,US AIRWAYS*,Kentucky,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,130
CHICAGO O'HARE INTL ARPT,MD-80,None,7/16/94 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Dusk,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,7/17/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,155
HOUSTON-HOBBY,B-737-300,None,7/17/94 0:00,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,145
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,7/18/94 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,150
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,7/18/94 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,1,148
BALTIMORE WASH INTL,B-737-500,None,7/18/94 0:00,SOUTHWEST AIRLINES,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,135
LAMBERT-ST LOUIS INTL,L-1011,None,7/18/94 0:00,TRANS WORLD AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,1,125
LOS ANGELES INTL,B-737-400,None,7/18/94 0:00,US AIRWAYS*,California,Approach,Small,Unknown bird - small,Dusk,0,0,0,1,150
CHARLESTON AFB/INTL ARPT,C-141B,None,7/19/94 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,114
ATLANTIC CITY INTL,SHORTS 360,None,7/19/94 0:00,ALLEGHENYAIRLINES,New Jersey,Landing Roll,Small,Barn swallow,Day,0,0,0,1,80
ATLANTIC CITY INTL,BELL-212,None,7/19/94 0:00,GOVERNMENT,New Jersey,Parked,Small,Rock pigeon,Day,0,0,0,1,0
WILL ROGERS WORLD ARPT,B-737-300,Substantial,7/20/94 0:00,SOUTHWEST AIRLINES,Oklahoma,Take-off run,Small,Mourning dove,Day,0,0,0,1,140
EPPLEY AIRFIELD,B-737-200,None,7/20/94 0:00,UNITED AIRLINES,Nebraska,Approach,Small,European starling,Day,0,0,0,1,125
PHILADELPHIA INTL,SHORTS 360,None,7/21/94 0:00,ALLEGHENYAIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Day,0,0,0,1,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,7/21/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,180
SALT LAKE CITY INTL,B-767,None,7/22/94 0:00,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
GREATER PITTSBURGH,B-737-300,None,7/22/94 0:00,US AIRWAYS*,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,175
HOUSTON-HOBBY,B-737-300,None,7/22/94 0:00,SOUTHWEST AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,1,135
ATLANTIC CITY INTL,DC-9-30,None,7/23/94 0:00,SPIRIT AIRLINES,New Jersey,Landing Roll,Small,Killdeer,Night,0,0,0,1,
LOUISVILLE INTL ARPT,SAAB-340,None,7/24/94 0:00,AMERICAN EAGLE AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,130
CHICAGO O'HARE INTL ARPT,B-727,None,7/25/94 0:00,AMERICAN AIRLINES,Illinois,Take-off run,Small,Killdeer,Day,0,0,0,1,
PHILADELPHIA INTL,DC-9,None,7/26/94 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Large,Canada goose,Dusk,0,0,0,1,140
MINNEAPOLIS-ST PAUL INTL,DC-9-30,None,7/26/94 0:00,TRANS WORLD AIRLINES,Minnesota,Descent,Medium,Unknown bird - medium,Day,0,0,0,1,250
GREATER PITTSBURGH,B-737-300,None,7/26/94 0:00,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Day,0,0,0,1,160
GREATER PITTSBURGH,DC-9-30,None,7/26/94 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,90
CHARLESTON AFB/INTL ARPT,C-141B,None,7/27/94 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Dawn,0,0,0,1,116
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,7/27/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,148
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,7/27/94 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,1,290
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,7/27/94 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,7/27/94 0:00,MILITARY,Louisiana,Approach,Small,Barn swallow,Day,0,0,0,1,145
LAMBERT-ST LOUIS INTL,B-727,None,7/27/94 0:00,TRANS WORLD AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,1,144
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,7/28/94 0:00,AMERICAN EAGLE AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
PORTLAND INTL (OR),A-320,None,7/28/94 0:00,NORTHWEST AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
HOUSTON-HOBBY,B-737-200,None,7/28/94 0:00,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,200
CHICAGO O'HARE INTL ARPT,DC-10-10,None,7/29/94 0:00,AMERICAN AIRLINES,Illinois,Approach,Large,Unknown bird - large,Day,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,7/29/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,170
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,7/29/94 0:00,AMERICAN EAGLE AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
CHICAGO MIDWAY INTL ARPT,B-737-200,None,7/29/94 0:00,SOUTHWEST AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
GREATER PITTSBURGH,FOKKER F100,None,7/29/94 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
GREATER PITTSBURGH,DC-9,None,7/30/94 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,120
WASHINGTON DULLES INTL ARPT,B-757-200,None,7/31/94 0:00,UNITED AIRLINES,DC,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,170
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,7/31/94 0:00,ABX AIR,Kentucky,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
EPPLEY AIRFIELD,FOKKER F100,None,8/1/94 0:00,AMERICAN AIRLINES,Nebraska,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,130
DALLAS/FORT WORTH INTL ARPT,MD-80,None,8/1/94 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,132
MINETA SAN JOSE INTL,MD-80,None,8/1/94 0:00,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
NEW ORLEANS INTL,EMB-120,None,8/1/94 0:00,EXPRESSJET (CONTINENTAL EXPRS),Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,1,
CHICAGO MIDWAY INTL ARPT,BA-31 JETSTR,None,8/2/94 0:00,UNKNOWN,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
NASHVILLE INTL,B-737,None,8/2/94 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,1,140
CHICAGO O'HARE INTL ARPT,B-757-200,Substantial,8/3/94 0:00,UNITED AIRLINES,Illinois,Take-off run,Large,Canada goose,Dusk,1565354,0,1565354,1,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/3/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/3/94 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,1,120
ATLANTA INTL,MD-88,None,8/3/94 0:00,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Day,0,0,0,1,135
GREATER PITTSBURGH,FOKKER F100,None,8/3/94 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
CHICAGO O'HARE INTL ARPT,B-737,None,8/4/94 0:00,UNITED AIRLINES,Illinois,Take-off run,Large,Canada goose,Day,0,0,0,1,141
CLEVELAND-HOPKINS INTL ARPT,DHC8 DASH 8,None,8/4/94 0:00,CHAUTAUQUA AIRLINES,Ohio,Landing Roll,Small,Unknown bird - small,Dawn,0,0,0,1,
NASHVILLE INTL,BA-31 JETSTR,None,8/4/94 0:00,AMERICAN EAGLE AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,1,190
KANSAS CITY INTL,B-737-300,None,8/4/94 0:00,DELTA AIR LINES,Missouri,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
LOUISVILLE INTL ARPT,B-737-200,None,8/4/94 0:00,SOUTHWEST AIRLINES,Kentucky,Take-off run,Small,American robin,Day,0,0,0,1,120
LAMBERT-ST LOUIS INTL,B-737-200,None,8/5/94 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,250
SALT LAKE CITY INTL,B-727,None,8/5/94 0:00,DELTA AIR LINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
SAN ANTONIO INTL,MD-82,None,8/5/94 0:00,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,110
AUSTIN-BERGSTROM INTL,FOKKER F100,None,8/5/94 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
NASHVILLE INTL,FOKKER F100,None,8/5/94 0:00,AMERICAN AIRLINES,Tennessee,Climb,Small,Barn swallow,Day,0,0,0,1,180
SAN ANTONIO INTL,SHORTS SC7,None,8/6/94 0:00,ATLANTIC COAST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
CHARLESTON AFB/INTL ARPT,C-141B,None,8/6/94 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,1,200
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-757-200,None,8/6/94 0:00,DELTA AIR LINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,
WASHINGTON DULLES INTL ARPT,BA-41 JETSTR,None,8/7/94 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Large,Unknown bird - large,Day,0,0,0,1,130
JOHN F KENNEDY INTL,ATR-42,None,8/7/94 0:00,AMERICAN AIRLINES,New York,Approach,Small,Mourning dove,Day,0,0,0,1,110
NEWARK LIBERTY INTL ARPT,B-737-300,None,8/7/94 0:00,CONTINENTAL AIRLINES,New Jersey,Landing Roll,Small,European starling,Day,0,0,0,1,
SALT LAKE CITY INTL,B-737,None,8/8/94 0:00,UNITED AIRLINES,Utah,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,8/8/94 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/9/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,140
NASHVILLE INTL,FOKKER F100,None,8/9/94 0:00,AMERICAN AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,1,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,8/10/94 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,1,150
MINNEAPOLIS-ST PAUL INTL,A-320,None,8/10/94 0:00,NORTHWEST AIRLINES,Minnesota,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,140
CLEVELAND-HOPKINS INTL ARPT,MD-80,None,8/11/94 0:00,CONTINENTAL AIRLINES,Ohio,Landing Roll,Small,European starling,Dusk,0,0,0,1,135
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,8/12/94 0:00,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,150
CHARLESTON AFB/INTL ARPT,C-141B,None,8/12/94 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,115
PHILADELPHIA INTL,B-737-300,None,8/12/94 0:00,US AIRWAYS*,Pennsylvania,Climb,Small,American robin,Day,0,0,0,1,155
BARKSDALE AIR FORCE BASE ARPT,A-10A,None,8/12/94 0:00,MILITARY,Louisiana,Take-off run,Small,American robin,Day,0,0,0,1,150
CHICAGO O'HARE INTL ARPT,C-130H,None,8/13/94 0:00,MILITARY,Illinois,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,110
CHARLOTTE/DOUGLAS INTL ARPT,B-737-400,None,8/13/94 0:00,US AIRWAYS*,North Carolina,Approach,Small,Mourning dove,Day,0,0,0,1,140
INDIANAPOLIS INTL,B-737,None,8/13/94 0:00,US AIRWAYS*,Indiana,Climb,Small,Unknown bird - small,Day,0,0,0,1,150
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,8/13/94 0:00,US AIRWAYS*,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
ORLANDO INTL,B-737-200,None,8/14/94 0:00,US AIRWAYS*,Florida,Climb,Large,Unknown bird - large,Day,0,0,0,1,200
CHICAGO O'HARE INTL ARPT,FOKKER F100,None,8/14/94 0:00,AMERICAN AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,121
KANSAS CITY INTL,B-737-200,None,8/14/94 0:00,SOUTHWEST AIRLINES,Missouri,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,1,135
CHICAGO O'HARE INTL ARPT,B-737,None,8/14/94 0:00,UNITED AIRLINES,Illinois,Climb,Small,European starling,Day,0,0,0,1,170
SEATTLE-TACOMA INTL,B-737-400,None,8/15/94 0:00,ALASKA AIRLINES,Washington,Landing Roll,Small,European starling,Day,0,0,0,1,135
CHARLOTTE/DOUGLAS INTL ARPT,C-560,Minor,8/16/94 0:00,BUSINESS,North Carolina,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,120
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-767,None,8/16/94 0:00,DELTA AIR LINES,Kentucky,Approach,Small,Mourning dove,Day,0,0,0,1,120
LAMBERT-ST LOUIS INTL,B-737-200,None,8/17/94 0:00,SOUTHWEST AIRLINES,Missouri,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,1,250
RONALD REAGAN WASHINGTON NATL,B-757-200,None,8/18/94 0:00,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,1,127
CHARLESTON AFB/INTL ARPT,C-17A,None,8/19/94 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,160
